window,date,port_return,turnover,port_return_net,cum_return_gross,cum_return_net
2022_2024,2024-01-19,0.00837554706521591,0.6648648648648648,0.0064806822003510445,2.864189247799311,-0.6321672748484257
2022_2024,2024-01-22,0.006816264729452432,0.36036036036036034,0.005789237702425405,2.890528584677015,-0.6300378037677925
2022_2024,2024-01-23,0.003705419645172128,0.46943765281173594,0.0023675223346586805,2.9049446257247813,-0.6291619100052332
2022_2024,2024-01-24,-0.008116979437185624,0.9084745762711864,-0.010706131979558506,2.873248270494425,-0.6331321515397647
2022_2024,2024-01-25,-0.0016763932004053206,0.9417637271214643,-0.004360419822701494,2.866755183430286,-0.6347318493785026
2022_2024,2024-01-26,0.012873674981276671,0.43594009983361065,0.011631245696750881,2.916534532893934,-0.6304833257734261
2022_2024,2024-01-29,-5.300744499923719e-07,0.5835694050991501,-0.00166370287898257,2.9165324568390454,-0.6310980917281689
2022_2024,2024-01-30,0.0013963474066025032,0.528,-0.00010845259339749692,2.9220012967780273,-0.6311381000968302
2022_2024,2024-01-31,0.018776910946623926,0.64,0.016952910946623927,2.9956443658601715,-0.6248848171561693
2022_2024,2024-02-01,-0.003302966853963113,0.5313653136531366,-0.0048173579978745525,2.982446884959511,-0.6266918812823662
2022_2024,2024-02-02,0.0012572754616011598,0.5622710622710623,-0.0003451970658713676,2.9874539177051003,-0.6268207461496135
2022_2024,2024-02-05,0.011796406430406128,0.23076923076923078,0.011138714122713821,3.034491544740865,-0.6226640091244464
2022_2024,2024-02-15,0.019821179957091935,0.43991416309012876,0.018567424592285067,3.11445992768454,-0.6156578515679094
2022_2024,2024-02-16,0.010177223910947967,0.4294117647058823,0.008953400381536202,3.156333707641208,-0.6122166824294971
2022_2024,2024-02-19,-0.0019129753479678587,0.31176470588235294,-0.0028015047597325644,3.1483827437205623,-0.6133030592394157
2022_2024,2024-02-20,0.007251432127908606,0.8159509202453987,0.004925972005209219,3.1784644596272393,-0.611398200934729
2022_2024,2024-02-21,0.0039561408159012965,0.8083333333333333,0.0016523908159012963,3.1949950534237637,-0.6107560788909108
